End,Name,totalRevenue,totalAssets,totalLiabilities,commonStockSharesOutstanding,GDP,Interest,Inflation,SP,Cons_Sent,Fin_Stress,Cash_On_Hand,Unemployment_Rate,Recession_probability,Corporate_Profits
7/29/2018,NVDA,-0.026192703,0.12408377,0.091904889,0.001650165,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353
10/28/2018,NVDA,0.018571886,0.060161466,0.023244434,0.003294893,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232
1/27/2019,NVDA,-0.306821754,-0.026726221,-0.055475849,-0.004926108,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876
4/28/2019,NVDA,0.006802721,0.05484502,0.092911392,0.001650165,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195
7/28/2019,NVDA,0.161711712,0.053776478,0.028260366,0.003294893,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894
10/27/2019,NVDA,0.168670027,0.070050761,0.035368326,0.001642036,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102
1/26/2020,NVDA,0.030192435,0.095192916,0.11205396,0.003278689,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177
4/26/2020,NVDA,-0.00805153,0.342997401,0.986891019,0.003267974,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143
7/26/2020,NVDA,0.255194805,0.08282446,0.109404234,0.003257329,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008
10/25/2020,NVDA,0.222452147,0.067553614,0.024942304,0.003246753,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814
1/31/2021,NVDA,0.058611934,0.071053904,0.030397506,0.003236246,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408
5/2/2021,NVDA,0.131521087,0.069639818,0.01042192,0.001612903,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624
8/1/2021,NVDA,0.149443561,0.255033121,0.455914157,3.014492754,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477
10/31/2021,NVDA,0.091593668,0.051280724,-0.038222019,0.002406739,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597
1/30/2022,NVDA,0.076024215,0.087492617,0.044018059,0.00280112,0.016072818,2.225308436,0.320530482,-0.030040568,-0.097281831,-0.419891086,-0.016508083,-0.095238095,0,0.043170155
5/1/2022,NVDA,0.084390946,0.023196868,0.074935989,0,0.020532989,1.868123875,0.177029959,-0.080242212,-0.082408875,-0.689970356,-0.220466654,-0.052631579,2,0.058072562
7/31/2022,NVDA,-0.191119691,-0.038396886,0.038799492,-0.004389465,0.018831434,-0.017726778,0.190360867,-0.030523642,-0.031088083,1.084462151,-0.041520201,0,-0.592592593,-0.049390295
10/30/2022,NVDA,-0.115304296,-0.068727574,-0.024764331,-0.004809619,0.01609594,0.698938861,0.08014407,-0.032253445,0.048128342,-0.406345566,,0,9,-0.048450002
1/29/2023,NVDA,0.020232676,0.017140881,-0.003030461,-0.006846557,,-0.007773642,0.007543269,0.038445263,0.098639456,0.224082421,,-0.027777778,,
6/30/2018,TSLA,0.173951305,0.023431484,0.050670503,0.004512518,0.015614161,0.161903286,0.138620043,-0.011103063,-0.006066734,-0.446735395,-0.125672619,-0.025,-0.222222222,0.025792936
9/30/2018,TSLA,0.705147426,0.048477248,0.03382944,0.006228155,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353
12/31/2018,TSLA,0.05890973,0.016300448,0.000768935,0.005973959,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232
3/31/2019,TSLA,-0.371574869,-0.027807666,-0.023562556,0.00625134,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876
6/30/2019,TSLA,0.398370403,0.102376094,0.080743169,0.03129858,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195
9/30/2019,TSLA,-0.007401575,0.028927305,0.023905833,0.004924128,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894
12/31/2019,TSLA,0.171505632,0.046165574,0.035001778,0.005555556,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102
3/31/2020,TSLA,-0.189463705,0.085720948,0.012176037,0.022099448,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177
6/30/2020,TSLA,0.008521303,0.023758389,0.008899615,0.005405405,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143
9/30/2020,TSLA,0.453114645,0.198138193,0.05191747,4.096774194,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008
12/31/2020,TSLA,0.224945844,0.141318859,0.009771524,0.012658228,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814
