End,Name,totalRevenue,totalAssets,totalLiabilities,commonStockSharesOutstanding,GDP,Interest,Inflation,SP,Cons_Sent,Fin_Stress,Cash_On_Hand,Unemployment_Rate,Recession_probability,Corporate_Profits,Volume,st_dev,open,close,% delta,class
2018-07-29 00:00:00-04:00,NVDA,-0.026192703,0.12408377,0.091904889,0.001650165,0.010604734,0.019115256,-0.023339906,0.054185333,-0.002034588,2.483342744,-0.016460424,-0.025641026,0.142857143,0.007098353,206070553.8,2.555788391,56.20031502,62.45589066,0.111308551,1
2018-10-28 00:00:00-04:00,NVDA,0.018571886,0.060161466,0.023244434,0.003294893,0.006380298,0.090647421,-0.007862085,-0.052874088,0,-0.7646296,0.036295806,0,2.25,0.008926232,219610461.5,3.959603265,62.57728207,53.27395248,-0.148669442,0
2019-01-27 00:00:00-04:00,NVDA,-0.306821754,-0.026726221,-0.055475849,-0.004926108,0.009309453,-0.320395051,-0.026411499,0.008177315,-0.036697248,1.466942149,-0.114288788,0.026315789,1.884615385,-0.017532876,325486000,7.034553063,50.56464709,35.91128159,-0.289794676,0
2019-04-28 00:00:00-04:00,NVDA,0.006802721,0.05484502,0.092911392,0.001650165,0.012342928,-0.473676175,0.009081852,0.059290702,0.042328042,0.425181463,0.028232989,-0.076923077,-0.493333333,0.024997195,289844215.4,4.526094796,33.88161235,45.45634079,0.341622716,1
2019-07-28 00:00:00-04:00,NVDA,0.161711712,0.053776478,0.028260366,0.003294893,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894,213688984.6,3.3384309,44.31378706,40.08235168,-0.095488011,0
2019-10-27 00:00:00-04:00,NVDA,0.168670027,0.070050761,0.035368326,0.001642036,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102,179553046.2,3.049958176,43.46171147,50.42696762,0.160261893,1
2020-01-26 00:00:00-04:00,NVDA,0.030192435,0.095192916,0.11205396,0.003278689,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177,148055230.8,4.078737736,51.35043073,58.89355087,0.146894973,1
2020-04-26 00:00:00-04:00,NVDA,-0.00805153,0.342997401,0.986891019,0.003267974,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143,299421723.1,6.322693627,59.34441618,70.48125458,0.18766447,1
2020-07-26 00:00:00-04:00,NVDA,0.255194805,0.08282446,0.109404234,0.003257329,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008,234591723.1,10.33233076,73.52452327,105.8748322,0.439993453,1
2020-10-25 00:00:00-04:00,NVDA,0.222452147,0.067553614,0.024942304,0.003246753,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814,256875784.6,11.81040185,102.0596607,125.0554428,0.225317054,1
