Date,filingDate,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalEquity,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding,GDP,Interest,Inflation,SP,Cons_Sent,Fin_Stress,Cash_On_Hand,Unemployment_Rate,Recession_probability,Corporate_Profits,initialPrice,finalPrice,delta,class,Liab/Rev,Asset/share
4/29/2018,5/22/2018,NVDA,3207000000,1139000000,542000000,7717000000,11460000000,3743000000,797000000,606000000,20470.197,1.15872476,2.530544333,2703.13,98.3,-0.1825,136813,3.9,0.1,2258.834,60.0899353,61.36335373,1.273418427,1,1.167134394,18.91089109
7/29/2018,8/16/2018,NVDA,3123000000,1148000000,581000000,8795000000,12882000000,4087000000,1090000000,607000000,20687.278,1.18087408,2.471481667,2849.6,98.1,-0.6204,134561,3.8,0.11,2274.868,63.77882004,61.40050125,-2.378318787,0,1.308677554,21.22240527
10/28/2018,11/15/2018,NVDA,3181000000,1260000000,605000000,9475000000,13657000000,4182000000,1417000000,609000000,20819.269,1.28791727,2.452050667,2698.93,98.1,-0.1487,139445,3.8,0.23,2295.174,50.16804123,35.86795044,-14.30009079,0,1.314680918,22.42528736
1/27/2019,2/21/2019,NVDA,2205000000,998000000,647000000,9342000000,13292000000,3950000000,1575000000,606000000,21013.085,0.87527495,2.387288333,2721,94.5,-0.3621,123508,3.9,0.73,2254.933,38.65058899,39.37512207,0.724533081,1,1.79138322,21.9339934
4/28/2019,5/16/2019,NVDA,2220000000,924000000,674000000,9704000000,14021000000,4317000000,1426000000,607000000,21272.448,0.46067806,2.408969333,2882.33,98.5,-0.513,126995,3.6,0.47,2311.3,39.78827667,37.69193268,-2.096343994,0,1.944594595,23.09884679
7/28/2019,8/15/2019,NVDA,2579000000,1038000000,704000000,10336000000,14775000000,4439000000,1204000000,609000000,21531.839,0.36520973,2.565620333,2957.85,93.8,-0.2285,120227,3.6,0.35,2269.075,36.99393463,42.46705627,5.473121643,1,1.721209771,24.26108374
10/27/2019,11/14/2019,NVDA,3014000000,1098000000,712000000,11214000000,15810000000,4596000000,1047000000,610000000,21706.532,0.43873377,2.749306333,3082.76,97.2,-0.1624,155655,3.6,0.71,2383.929,52.21913147,52.83892059,0.619789124,1,1.524883875,25.91803279
1/26/2020,2/20/2020,NVDA,3105000000,1090000000,738000000,12204000000,17315000000,5111000000,979000000,612000000,21538.032,0.23108155,2.752460667,3055.87,96.6,0.9415,170156,3.8,33.45,2202.657,76.89565277,68.07270813,-8.822944641,0,1.64605475,28.29248366
4/26/2020,5/21/2020,NVDA,3080000000,1076000000,735000000,13099000000,23254000000,10155000000,1128000000,614000000,19636.731,-0.09771677,2.122902,2931.69,74.1,1.0473,239587,13,33.35,2078.07,87.48715973,86.91390228,-0.573257446,0,3.297077922,37.87296417
7/26/2020,8/19/2020,NVDA,3866000000,1591000000,997000000,13914000000,25180000000,11266000000,1401000000,616000000,21362.428,-0.36527181,2.238408667,3319.83,75.7,-0.0865,221081,8.8,0.02,2702.715,121.0731964,126.5091934,5.435997009,1,2.914123125,40.87662338
10/25/2020,11/18/2020,NVDA,4726000000,1766000000,1047000000,15334000000,26881000000,11547000000,1495000000,618000000,21704.706,-0.24600518,1.785781667,3554.5,79.8,-0.1765,245243,6.8,0.21,2615.907,133.9826202,130.5803833,-3.402236938,0,2.443292425,43.49676375
1/31/2021,2/26/2021,NVDA,5003000000,1847000000,1146000000,16893000000,28791000000,11898000000,1826000000,620000000,22313.85,-0.15111138,1.583668333,3865.71,80.2,-0.5785,261600,6.2,0,2937.989,136.8740845,138.144043,1.269958496,1,2.378173096,46.43709677
5/2/2021,5/26/2021,NVDA,5661000000,2032000000,1153000000,18774000000,30796000000,12022000000,1992000000,621000000,23046.934,0.04977656,2.491358,4183.63,85.6,-0.9187,268350,5.9,0.15,3209.367,156.7439117,162.1800537,5.436141968,1,2.123653065,49.59098229
8/1/2021,8/20/2021,NVDA,6507000000,2292000000,1245000000,21147000000,38650000000,17503000000,2114000000,2493000000,23550.42,-0.14023619,2.432303667,4421.67,74.8,-0.7987,270392,5.1,0.18,3214.189,207.8680878,219.2720947,11.40400696,1,2.689872445,15.50340955
10/31/2021,11/22/2021,NVDA,7103000000,2472000000,1403000000,23798000000,40632000000,16834000000,2233000000,2499000000,24349.121,0.1145294,3.244694,4602.11,69.9,-0.6983,260115,4.2,0.11,3190.746,319.1681519,326.339325,7.171173096,1,2.369984514,16.25930372
1/30/2022,3/18/2022,NVDA,7643000000,2644000000,1466000000,26612000000,44187000000,17575000000,2605000000,2506000000,24740.48,0.36939264,4.284717333,4463.86,63.1,-0.4063,255821,3.8,0.13,3328.491,264.2829895,267.0903931,2.807403564,1,2.299489729,17.63248204
5/1/2022,5/27/2022,NVDA,8288000000,2857000000,1618000000,26320000000,45212000000,18892000000,3163000000,2506000000,25248.476,1.05946385,5.043240667,4105.67,57.9,-0.1295,199421,3.6,0.19,3521.785,187.9343567,186.5456696,-1.388687134,0,2.279440154,18.0415004
7/31/2022,8/31/2022,NVDA,6704000000,570000000,1824000000,23851000000,43476000000,19625000000,3889000000,2495000000,25723.941,1.04068297,6.003276333,3980.35,56.1,-0.2758,191141,3.6,0.07,3347.843,150.8309479,136.3714142,-14.45953369,0,2.927356802,17.4252505
10/30/2022,11/18/2022,NVDA,5931000000,2754000000,1945000000,21349000000,40488000000,19139000000,4454000000,2483000000,26137.992,1.76805674,6.484403333,3851.97,58.8,-0.1566,188009,3.6,0.88,3185.64,154.0244293,153.1048126,-0.919616699,0,3.22694318,16.30608135
1/29/2023,2/24/2023,NVDA,6051000000,2218000000,1952000000,22101000000,41182000000,19081000000,5159000000,2466000000,26629.7225,1.7543125,6.53331693,3610.215,55.3,-0.09135,155669,3.5,0.85,3358.188149,232.8204651,234.9700928,2.149627686,1,3.15336308,16.6999189
3/31/2018,5/7/2018,TSLA,3409000000,2485000000,367096000,5720000000,27271000000,21551000000,2566000000,169750000,20155.486,0.99726438,2.222466,2733.48,98.9,-0.3239,156478,4,0.13,2202.037,20.18466759,20.45666695,0.271999359,1,6.321795248,160.6539028
6/30/2018,8/6/2018,TSLA,4002000000,2860000000,386129000,5267000000,27910000000,22643000000,3325000000,170516000,20470.197,1.15872476,2.530544333,2703.13,98.3,-0.1825,136813,3.9,0.1,2258.834,22.79933357,24.68933296,1.88999939,1,5.657921039,163.6796547
