,Date,filingDate,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalEquity,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding,GDP,Interest,Inflation,SP,Cons_Sent,Fin_Stress,Cash_On_Hand,Unemployment_Rate,Recession_probability,Corporate_Profits,initialPrice,finalPrice,delta,class,Liab/Rev,Asset/share
0,4/29/2018,5/22/2018,NVDA,3207000000.0,1139000000,542000000.0,7717000000.0,11460000000.0,3743000000.0,797000000.0,606000000,20470.197,1.15872476,2.530544333,2703.13,98.3,-0.1825,136813,3.9,0.1,2258.834,60.0899353,61.36335373,1.273418427,1,0.15455150862751776,2.9397380042465366
1,7/29/2018,8/16/2018,NVDA,3123000000.0,1148000000,581000000.0,8795000000.0,12882000000.0,4087000000.0,1090000000.0,607000000,20687.278,1.18087408,2.471481667,2849.6,98.1,-0.6204,134561,3.8,0.11,2274.868,63.77882004,61.40050125,-2.378318787,0,0.26901712656062127,3.055057475961171
2,10/28/2018,11/15/2018,NVDA,3181000000.0,1260000000,605000000.0,9475000000.0,13657000000.0,4182000000.0,1417000000.0,609000000,20819.269,1.28791727,2.452050667,2698.93,98.1,-0.1487,139445,3.8,0.23,2295.174,50.16804123,35.86795044,-14.30009079,0,0.2735939882772158,3.110189222132546
3,1/27/2019,2/21/2019,NVDA,2205000000.0,998000000,647000000.0,9342000000.0,13292000000.0,3950000000.0,1575000000.0,606000000,21013.085,0.87527495,2.387288333,2721.0,94.5,-0.3621,123508,3.9,0.73,2254.933,38.65058899,39.37512207,0.724533081,1,0.5829880700395376,3.0880376434352637
4,4/28/2019,5/16/2019,NVDA,2220000000.0,924000000,674000000.0,9704000000.0,14021000000.0,4317000000.0,1426000000.0,607000000,21272.448,0.46067806,2.408969333,2882.33,98.5,-0.513,126995,3.6,0.47,2311.3,39.78827667,37.69193268,-2.096343994,0,0.6650535208976306,3.1397826937707554
5,7/28/2019,8/15/2019,NVDA,2579000000.0,1038000000,704000000.0,10336000000.0,14775000000.0,4439000000.0,1204000000.0,609000000,21531.839,0.36520973,2.565620333,2957.85,93.8,-0.2285,120227,3.6,0.35,2269.075,36.99393463,42.46705627,5.473121643,1,0.5430273988195524,3.1888735744060264
6,10/27/2019,11/14/2019,NVDA,3014000000.0,1098000000,712000000.0,11214000000.0,15810000000.0,4596000000.0,1047000000.0,610000000,21706.532,0.43873377,2.749306333,3082.76,97.2,-0.1624,155655,3.6,0.71,2383.929,52.21913147,52.83892059,0.619789124,1,0.42191825961902013,3.254938973156338
7,1/26/2020,2/20/2020,NVDA,3105000000.0,1090000000,738000000.0,12204000000.0,17315000000.0,5111000000.0,979000000.0,612000000,21538.032,0.23108155,2.752460667,3055.87,96.6,0.9415,170156,3.8,33.45,2202.657,76.89565277,68.07270813,-8.822944641,0,0.4983813641561299,3.342596174319576
8,4/26/2020,5/21/2020,NVDA,3080000000.0,1076000000,735000000.0,13099000000.0,23254000000.0,10155000000.0,1128000000.0,614000000,19636.731,-0.09771677,2.122902,2931.69,74.1,1.0473,239587,13.0,33.35,2078.07,87.48715973,86.91390228,-0.573257446,0,1.1930365980232314,3.6342375110977523
9,7/26/2020,8/19/2020,NVDA,3866000000.0,1591000000,997000000.0,13914000000.0,25180000000.0,11266000000.0,1401000000.0,616000000,21362.428,-0.36527181,2.238408667,3319.83,75.7,-0.0865,221081,8.8,0.02,2702.715,121.0731964,126.5091934,5.435997009,1,1.0695689597973363,3.7105583441474237
10,10/25/2020,11/18/2020,NVDA,4726000000.0,1766000000,1047000000.0,15334000000.0,26881000000.0,11547000000.0,1495000000.0,618000000,21704.706,-0.24600518,1.785781667,3554.5,79.8,-0.1765,245243,6.8,0.21,2615.907,133.9826202,130.5803833,-3.402236938,0,0.8933464842526341,3.7726865387753534
11,1/31/2021,2/26/2021,NVDA,5003000000.0,1847000000,1146000000.0,16893000000.0,28791000000.0,11898000000.0,1826000000.0,620000000,22313.85,-0.15111138,1.583668333,3865.71,80.2,-0.5785,261600,6.2,0.0,2937.989,136.8740845,138.144043,1.269958496,1,0.8663325861998039,3.838098639156294
12,5/2/2021,5/26/2021,NVDA,5661000000.0,2032000000,1153000000.0,18774000000.0,30796000000.0,12022000000.0,1992000000.0,621000000,23046.934,0.04977656,2.491358,4183.63,85.6,-0.9187,268350,5.9,0.15,3209.367,156.7439117,162.1800537,5.436141968,1,0.753137749642717,3.903809008532327
13,8/1/2021,8/20/2021,NVDA,6507000000.0,2292000000,1245000000.0,21147000000.0,38650000000.0,17503000000.0,2114000000.0,2493000000,23550.42,-0.14023619,2.432303667,4421.67,74.8,-0.7987,270392,5.1,0.18,3214.189,207.8680878,219.2720947,11.40400696,1,0.9894937742738551,2.741059970702877
14,10/31/2021,11/22/2021,NVDA,7103000000.0,2472000000,1403000000.0,23798000000.0,40632000000.0,16834000000.0,2233000000.0,2499000000,24349.121,0.1145294,3.244694,4602.11,69.9,-0.6983,260115,4.2,0.11,3190.746,319.1681519,326.339325,7.171173096,1,0.8628834209484768,2.788665281554575
15,1/30/2022,3/18/2022,NVDA,7643000000.0,2644000000,1466000000.0,26612000000.0,44187000000.0,17575000000.0,2605000000.0,2506000000,24740.48,0.36939264,4.284717333,4463.86,63.1,-0.4063,255821,3.8,0.13,3328.491,264.2829895,267.0903931,2.807403564,1,0.8326872413646871,2.8697427715260218
16,5/1/2022,5/27/2022,NVDA,8288000000.0,2857000000,1618000000.0,26320000000.0,45212000000.0,18892000000.0,3163000000.0,2506000000,25248.476,1.05946385,5.043240667,4105.67,57.9,-0.1295,199421,3.6,0.19,3521.785,187.9343567,186.5456696,-1.388687134,0,0.8239298663236458,2.892674681907691
