,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding
4/29/2018,NVDA,3.207 B,1.139 B,542 M,11.460 B,3.743 B,797 M,606 M
7/29/2018,NVDA,3.123 B,1.148 B,581 M,12.882 B,4.087 B,1.090 B,607 M
10/28/2018,NVDA,3.181 B,1.260 B,605 M,13.657 B,4.182 B,1.417 B,609 M
1/27/2019,NVDA,2.205 B,998 M,647 M,13.292 B,3.950 B,1.575 B,606 M
4/28/2019,NVDA,2.220 B,924 M,674 M,14.021 B,4.317 B,1.426 B,607 M
7/28/2019,NVDA,2.579 B,1.038 B,704 M,14.775 B,4.439 B,1.204 B,609 M
10/27/2019,NVDA,3.014 B,1.098 B,712 M,15.810 B,4.596 B,1.047 B,610 M
1/26/2020,NVDA,3.105 B,1.090 B,738 M,17.315 B,5.111 B,979 M,612 M
4/26/2020,NVDA,3.080 B,1.076 B,735 M,23.254 B,10.155 B,1.128 B,614 M
7/26/2020,NVDA,3.866 B,1.591 B,997 M,25.180 B,11.266 B,1.401 B,616 M
10/25/2020,NVDA,4.726 B,1.766 B,1.047 B,26.881 B,11.547 B,1.495 B,618 M
1/31/2021,NVDA,5.003 B,1.847 B,1.146 B,28.791 B,11.898 B,1.826 B,620 M
5/2/2021,NVDA,5.661 B,2.032 B,1.153 B,30.796 B,12.022 B,1.992 B,621 M
8/1/2021,NVDA,6.507 B,2.292 B,1.245 B,38.650 B,17.503 B,2.114 B,2.493 B
10/31/2021,NVDA,7.103 B,2.472 B,1.403 B,40.632 B,16.834 B,2.233 B,2.499 B
1/30/2022,NVDA,7.643 B,2.644 B,1.466 B,44.187 B,17.575 B,2.605 B,2.506 B
5/1/2022,NVDA,8.288 B,2.857 B,1.618 B,45.212 B,18.892 B,3.163 B,2.506 B
7/31/2022,NVDA,6.704 B,570 M,1.824 B,43.476 B,19.625 B,3.889 B,2.495 B
10/30/2022,NVDA,5.931 B,2.754 B,1.945 B,40.488 B,19.139 B,4.454 B,2.483 B
1/29/2023,NVDA,6.051 B,2.218 B,1.952 B,41.182 B,19.081 B,5.159 B,2.466 B
3/31/2018,TSLA,3.409 B,2.485 B,367.096 M,27.271 B,21.551 B,2.566 B,169.750 M
6/30/2018,TSLA,4.002 B,2.860 B,386.129 M,27.910 B,22.643 B,3.325 B,170.516 M
9/30/2018,TSLA,6.824 B,-5.313 B,351 M,29.263 B,23.409 B,3.314 B,171.578 M
12/31/2018,TSLA,7.226 B,25.289 M,356 M,29.740 B,23.427 B,3.113 B,172.603 M
3/31/2019,TSLA,4.541 B,80.843 M,340 M,28.913 B,22.875 B,3.837 B,173.682 M
6/30/2019,TSLA,6.350 B,34.829 M,324 M,31.873 B,24.722 B,3.382 B,179.118 M
9/30/2019,TSLA,6.303 B,51.328 M,334 M,32.795 B,25.313 B,3.581 B,180 M
12/31/2019,TSLA,7.384 B,26 M,345 M,34.309 B,26.199 B,3.552 B,181 M
3/31/2020,TSLA,5.985 B,45 M,324 M,37.250 B,26.518 B,4.494 B,185 M
6/30/2020,TSLA,6.036 B,43 M,279 M,38.135 B,26.754 B,4.018 B,186 M
9/30/2020,TSLA,8.771 B,41 M,366 M,45.691 B,28.143 B,4.218 B,948 M
12/31/2020,TSLA,10.744 B,149 M,522 M,52.148 B,28.418 B,4.101 B,960 M
3/31/2021,TSLA,10.389 B,75 M,666 M,52.972 B,28.507 B,4.132 B,963 M
6/30/2021,TSLA,11.958 B,36 M,576 M,55.146 B,28.896 B,4.733 B,984 M
9/30/2021,TSLA,13.757 B,35 M,611 M,57.834 B,29.340 B,5.199 B,1.004 B
12/31/2021,TSLA,17.719 B,149 M,740 M,62.131 B,30.548 B,5.757 B,1.033 B
3/31/2022,TSLA,18.756 B,197 M,865 M,66.038 B,30.632 B,6.691 B,1.036 B
6/30/2022,TSLA,16.934 B,82 M,667 M,68.513 B,30.855 B,8.108 B,1.041 B
9/30/2022,TSLA,21.454 B,97 M,733 M,74.426 B,33.302 B,10.327 B,3.158 B
12/31/2022,TSLA,24.318 B,143 M,810 M,82.338 B,36.440 B,12.839 B,3.164 B
3/31/2018,META,11.966 B,1.927 B,2.238 B,88.945 B,11.325 B,0,2.906 B
6/30/2018,META,13.231 B,2.214 B,2.523 B,90.291 B,10.909 B,0,2.895 B
9/30/2018,META,13.727 B,2.418 B,2.657 B,92.452 B,12.110 B,0,2.885 B
12/31/2018,META,16.692 B,2.796 B,2.855 B,97.334 B,13.207 B,0,2.875 B
3/31/2019,META,15.077 B,2.816 B,2.860 B,109.477 B,22.961 B,0,2.856 B
6/30/2019,META,16.883 B,3.307 B,3.315 B,117.006 B,28.244 B,0,2.855 B
9/30/2019,META,17.648 B,3.155 B,3.548 B,124.418 B,30.419 B,0,2.854 B
12/31/2019,META,20.966 B,3.491 B,3.878 B,133.376 B,32.322 B,0,2.851 B
3/31/2020,META,17.734 B,3.459 B,4.015 B,138.371 B,33.067 B,0,2.851 B
6/30/2020,META,18.683 B,3.829 B,4.462 B,139.691 B,29.244 B,0,2.850 B
9/30/2020,META,21.466 B,4.194 B,4.763 B,146.437 B,28.706 B,0,2.850 B
12/31/2020,META,27.940 B,5.210 B,5.207 B,159.316 B,31.026 B,0,2.854 B
3/31/2021,META,26.167 B,5.131 B,5.197 B,163.523 B,29.866 B,0,2.847 B
6/30/2021,META,29.073 B,5.399 B,6.096 B,170.609 B,32.382 B,0,2.834 B
9/30/2021,META,29.006 B,5.771 B,6.316 B,169.585 B,36.225 B,0,2.814 B
12/31/2021,META,33.527 B,6.348 B,7.046 B,165.987 B,41.108 B,0,2.764 B
3/31/2022,META,27.904 B,6.005 B,7.707 B,164.218 B,40.990 B,0,2.725 B
6/30/2022,META,28.818 B,5.192 B,8.690 B,169.779 B,44.012 B,0,2.704 B
9/30/2022,META,27.710 B,5.716 B,9.170 B,178.894 B,54.800 B,0,2.682 B
12/31/2022,META,31.920 B,8.336 B,9.771 B,185.727 B,60.014 B,0,2.639 B
